#Submissions
#Id, Title, Authors, E-mail, Primary, Secondary
101, "Paper A - Redes", Autor, a@b.com, 1,
102, "Paper B - IA", Autor, b@b.com, 2,
103, "Paper C - Dados", Autor, c@b.com, 3,
#
#Reviewers
#Id, Name, E-mail, Primary, Secondary
1, "R1 (So Redes)", r1@b.com, 1,
5, "R5 (So Redes)", r5@b.com, 1,
2, "R2 (IA e Redes)", r2@b.com, 2, 1
3, "R3 (IA e Dados)", r3@b.com, 2, 3
4, "R4 (So Dados)", r4@b.com, 3,
6, "R6 (So Dados)", r6@b.com, 3,
#Parameters
MinReviewsPerSubmission, 2
MaxReviewsPerReviewer, 2
PrimaryReviewerExpertise, 1
SecondaryReviewerExpertise, 0
PrimarySubmissionDomain, 1
SecondarySubmissionDomain, 1
#Control
GenerateAssignments, 3
RiskAnalysis, 1
OutputFileName, "output_risk1.csv"
