#Submissions
#Id, Title, Authors, E-mail, Primary, Secondary
101, "Paper A - Redes", Autor, a@b.com, 1,
102, "Paper B - IA", Autor, b@b.com, 2,
103, "Paper C - Dados", Autor, c@b.com, 3,
#
#Reviewers
#Id, Name, E-mail, Primary, Secondary
1, "R1", r@b.com, 1,
2, "R2", r@b.com, 1,
3, "R3 (Redes e IA)", r@b.com, 1, 2
4, "R4 (IA e Dados)", r@b.com, 2, 3
5, "R5 (So IA)", r@b.com, 2,
6, "R6", r@b.com, 3,
7, "R7", r@b.com, 3,
#Parameters
MinReviewsPerSubmission, 2
MaxReviewsPerReviewer, 2
PrimaryReviewerExpertise, 1
SecondaryReviewerExpertise, 0
PrimarySubmissionDomain, 1
SecondarySubmissionDomain, 1
#Control
GenerateAssignments, 3
RiskAnalysis, 2
OutputFileName, "output_risk2.csv"
