#Submissions
#Id, Title, Authors, E-mail, Primary, Secondary
101, "Paper A - Redes", Autor, a@b.com, 1,
102, "Paper B - IA", Autor, b@b.com, 2,
101, "Paper C - ERRO DUPLICADO", Autor, c@b.com, 3,
#
#Reviewers
#Id, Name, E-mail, Primary, Secondary
1, "R1", r@b.com, 1,
2, "R2", r@b.com, 2,
2, "R3 - ERRO DUPLICADO", r@b.com, 3,
#Parameters
MinReviewsPerSubmission, 2
MaxReviewsPerReviewer, 2
PrimaryReviewerExpertise, 1
SecondaryReviewerExpertise, 0
PrimarySubmissionDomain, 1
SecondarySubmissionDomain, 1
#Control
GenerateAssignments, 1
RiskAnalysis, 0
OutputFileName, "output_erro.csv"
